year,quarter,uk_epu_migrant_index,uk_fear_index,germany_epu_migrant_index,germany_fear_index,usa_epu_migrant_index,usa_fear_index,france_epu_migrant_index,france_fear_index,date
1990,1,25.029695089818965,67.40442084798828,112.33824671107573,21.229358889597705,110.98375310026982,89.92874117102426,61.42872607973817,80.19960949674034,1990-01-01
1990,2,22.545424392537043,56.605845469600325,118.17399978697576,44.664365456036734,71.96549574072247,84.9183891603696,112.01455972014965,72.05561105426078,1990-04-01
1990,3,51.42003080521024,66.11305704086536,114.69829391088824,68.1225405905098,91.55405894064018,96.25625705934736,94.26027311542936,103.97614212885951,1990-07-01
1990,4,25.513360695419333,43.91043870214194,98.72764539165063,53.306475951146915,115.44107239237762,85.23593384433036,31.16653741395658,4.982467449539329,1990-10-01
1991,1,53.82181568358524,61.02777734704886,115.1013097011584,52.825106860512875,83.5902869031914,99.32069598641665,66.42583337268606,83.18394910234187,1991-01-01
1991,2,24.862764993103813,91.11904960301767,105.87534822543529,48.59090307854545,98.80107811560963,112.65672584963127,57.417809761121404,87.5844037444427,1991-04-01
1991,3,26.35142950828342,63.493946623937134,124.17677308927098,60.34260746221187,76.97713574439913,84.73239897175884,46.47108098959053,69.33866354166494,1991-07-01
1991,4,81.98601289446523,86.87590578378577,290.7499947421569,73.26013079534546,129.64512160130928,91.57575591348083,65.30640344723948,86.5672291339889,1991-10-01
1992,1,25.647587198470912,66.47183472384809,122.68851213838832,59.61940018176588,141.43458372289612,90.25896303592805,116.00087187660347,94.2683178504588,1992-01-01
1992,2,24.46918454340603,69.85858593137861,348.7349120754047,37.65881203816298,109.48507601293215,89.24133670020862,173.44930366597515,74.36315487515209,1992-04-01
1992,3,49.647620812707885,102.03417679976259,359.97618396648005,74.50605138710303,152.53253133144005,107.78022282045671,137.69669875662936,87.23674583892745,1992-07-01
1992,4,52.85670389276198,89.90017659651795,290.4063186254404,112.37364287609239,117.54779262280832,108.91728003678702,131.0620340893009,132.69824075410142,1992-10-01
1993,1,28.702530782346752,91.82447622712623,138.68684479656935,142.2754808176208,117.38870209520638,116.9090088281667,115.73663298850188,111.7849969506449,1993-01-01
1993,2,53.4586149029284,90.9239238626951,268.65363100833525,170.44009770388647,115.1007037675311,103.92517385380691,210.64280459087894,113.05046833782339,1993-04-01
1993,3,26.572405856361264,97.38467817110778,276.67088463639936,145.6495903933765,154.3826154527868,127.07991795969494,62.898959688799295,103.90580628192903,1993-07-01
1993,4,53.95929158571445,69.92418203602752,243.85483429987354,118.49910557219472,90.22347953486273,99.62190479245544,123.25483475406224,99.75275869256947,1993-10-01
1994,1,54.28281624618554,58.80270906544855,72.36101776220384,84.97772910820507,69.76809375357232,94.08948852736981,53.898566352848995,86.16544368180226,1994-01-01
1994,2,50.61915971838788,69.18307890610919,105.39843224243783,105.28029000351513,102.80512777572997,106.67947150964716,96.90385258425151,94.05629095527804,1994-04-01
1994,3,105.93428828653846,88.47930191715983,102.38955847348305,104.11757790303872,241.27212227220497,110.56258709685405,104.04446801764979,117.4717314195028,1994-07-01
1994,4,24.804378852219813,65.29093526278658,97.5322530992944,107.95513659352108,160.50140781641227,101.50755205936662,131.8122244507905,79.27192432811236,1994-10-01
1995,1,25.26921370311867,75.21253809555176,30.506456268345765,100.4761046708906,173.2651301220179,97.50948611975035,77.80321635734532,80.61720749796571,1995-01-01
