year,month,EPU,date
1962,4,77.2760795087177,1962-04-01
1962,5,0.0,1962-05-01
1962,6,74.8325671131851,1962-06-01
1962,7,0.0,1962-07-01
1962,8,223.393976160894,1962-08-01
1962,9,46.4651160459959,1962-09-01
1962,10,0.0,1962-10-01
1962,11,0.0,1962-11-01
1962,12,71.7145434834691,1962-12-01
1963,1,48.3141331915256,1963-01-01
1963,2,50.0857744391904,1963-02-01
1963,3,123.051357175574,1963-03-01
1963,4,79.8845547663959,1963-04-01
1963,5,0.0,1963-05-01
1963,6,82.5851231390876,1963-06-01
1963,7,84.2386628682351,1963-07-01
1963,8,178.106308918668,1963-08-01
1963,9,0.0,1963-09-01
1963,10,217.664667513226,1963-10-01
1963,11,50.9815542308711,1963-11-01
1963,12,49.9331902063216,1963-12-01
1964,1,85.6680519440536,1964-01-01
1964,2,220.467417521232,1964-02-01
1964,3,49.5932516950834,1964-03-01
1964,4,0.0,1964-04-01
1964,5,94.6631973981792,1964-05-01
1964,6,178.450843225949,1964-06-01
1964,7,46.3665337630129,1964-07-01
1964,8,48.5287037312363,1964-08-01
1964,9,94.0752272280042,1964-09-01
1964,10,125.236491286164,1964-10-01
1964,11,191.965926282746,1964-11-01
1964,12,43.1330781190133,1964-12-01
1965,1,203.655534597481,1965-01-01
1965,2,0.0,1965-02-01
1965,3,262.414373859757,1965-03-01
1965,4,72.8874694173432,1965-04-01
1965,5,73.7068900965714,1965-05-01
1965,6,0.0,1965-06-01
1965,7,70.1200842148666,1965-07-01
1965,8,162.015109474105,1965-08-01
1965,9,0.0,1965-09-01
1965,10,33.6562005856777,1965-10-01
1965,11,93.7259380179992,1965-11-01
1965,12,0.0,1965-12-01
1966,1,405.479701163257,1966-01-01
1966,2,167.628890235311,1966-02-01
1966,3,159.648406024919,1966-03-01
1966,4,393.668551011403,1966-04-01
1966,5,149.075901414455,1966-05-01
1966,6,0.0,1966-06-01
1966,7,227.836514575498,1966-07-01
1966,8,0.0,1966-08-01
1966,9,0.0,1966-09-01
1966,10,0.0,1966-10-01
1966,11,0.0,1966-11-01
1966,12,196.270128817784,1966-12-01
1967,1,0.0,1967-01-01
1967,2,0.0,1967-02-01
1967,3,0.0,1967-03-01
1967,4,0.0,1967-04-01
1967,5,0.0,1967-05-01
1967,6,0.0,1967-06-01
1967,7,334.425614648901,1967-07-01
1967,8,136.304113806445,1967-08-01
1967,9,0.0,1967-09-01
1967,10,0.0,1967-10-01
1967,11,0.0,1967-11-01
1967,12,133.392225312106,1967-12-01
1968,1,0.0,1968-01-01
1968,2,0.0,1968-02-01
1968,3,0.0,1968-03-01
1968,4,0.0,1968-04-01
1968,5,0.0,1968-05-01
1968,6,0.0,1968-06-01
1968,7,0.0,1968-07-01
1968,8,0.0,1968-08-01
1968,9,0.0,1968-09-01
1968,10,81.7484772330427,1968-10-01
1968,11,81.0411356500621,1968-11-01
1968,12,0.0,1968-12-01
1969,1,0.0,1969-01-01
1969,2,0.0,1969-02-01
1969,3,0.0,1969-03-01
1969,4,0.0,1969-04-01
1969,5,0.0,1969-05-01
1969,6,0.0,1969-06-01
1969,7,0.0,1969-07-01
1969,8,0.0,1969-08-01
1969,9,0.0,1969-09-01
1969,10,0.0,1969-10-01
1969,11,0.0,1969-11-01
1969,12,0.0,1969-12-01
1970,1,0.0,1970-01-01
1970,2,275.542112700356,1970-02-01
1970,3,0.0,1970-03-01
1970,4,0.0,1970-04-01
1970,5,0.0,1970-05-01
1970,6,0.0,1970-06-01
1970,7,0.0,1970-07-01
1970,8,0.0,1970-08-01
1970,9,186.200158798629,1970-09-01
1970,10,0.0,1970-10-01
1970,11,0.0,1970-11-01
1970,12,0.0,1970-12-01
1971,1,0.0,1971-01-01
1971,2,0.0,1971-02-01
1971,3,0.0,1971-03-01
1971,4,0.0,1971-04-01
1971,5,0.0,1971-05-01
1971,6,0.0,1971-06-01
1971,7,0.0,1971-07-01
1971,8,119.826832149593,1971-08-01
1971,9,0.0,1971-09-01
1971,10,0.0,1971-10-01
1971,11,0.0,1971-11-01
1971,12,0.0,1971-12-01
1972,1,174.212972823744,1972-01-01
1972,2,192.059834624184,1972-02-01
1972,3,0.0,1972-03-01
1972,4,0.0,1972-04-01
1972,5,122.939217400232,1972-05-01
1972,6,60.5376535003695,1972-06-01
1972,7,0.0,1972-07-01
1972,8,199.23745311059,1972-08-01
1972,9,0.0,1972-09-01
1972,10,123.957765963789,1972-10-01
1972,11,0.0,1972-11-01
1972,12,0.0,1972-12-01
1973,1,0.0,1973-01-01
1973,2,55.3268175028694,1973-02-01
1973,3,0.0,1973-03-01
1973,4,0.0,1973-04-01
1973,5,0.0,1973-05-01
1973,6,0.0,1973-06-01
1973,7,0.0,1973-07-01
1973,8,0.0,1973-08-01
1973,9,0.0,1973-09-01
1973,10,0.0,1973-10-01
1973,11,0.0,1973-11-01
1973,12,0.0,1973-12-01
1974,1,0.0,1974-01-01
1974,2,0.0,1974-02-01
1974,3,0.0,1974-03-01
1974,4,51.5832248158145,1974-04-01
1974,5,0.0,1974-05-01
1974,6,0.0,1974-06-01
1974,7,0.0,1974-07-01
1974,8,0.0,1974-08-01
1974,9,0.0,1974-09-01
1974,10,0.0,1974-10-01
1974,11,0.0,1974-11-01
1974,12,51.7460763543017,1974-12-01
1975,1,0.0,1975-01-01
1975,2,313.836691187277,1975-02-01
1975,3,0.0,1975-03-01
1975,4,52.9154792097661,1975-04-01
1975,5,0.0,1975-05-01
1975,6,0.0,1975-06-01
1975,7,0.0,1975-07-01
1975,8,0.0,1975-08-01
1975,9,0.0,1975-09-01
1975,10,0.0,1975-10-01
1975,11,0.0,1975-11-01
1975,12,54.2285183961127,1975-12-01
1976,1,0.0,1976-01-01
1976,2,0.0,1976-02-01
1976,3,0.0,1976-03-01
1976,4,0.0,1976-04-01
1976,5,0.0,1976-05-01
1976,6,0.0,1976-06-01
1976,7,0.0,1976-07-01
1976,8,0.0,1976-08-01
1976,9,63.7145565995143,1976-09-01
1976,10,0.0,1976-10-01
1976,11,0.0,1976-11-01
1976,12,0.0,1976-12-01
1977,1,0.0,1977-01-01
1977,2,0.0,1977-02-01
1977,3,0.0,1977-03-01
1977,4,0.0,1977-04-01
1977,5,0.0,1977-05-01
1977,6,0.0,1977-06-01
1977,7,0.0,1977-07-01
1977,8,0.0,1977-08-01
1977,9,0.0,1977-09-01
1977,10,0.0,1977-10-01
1977,11,160.359479267796,1977-11-01
1977,12,0.0,1977-12-01
1978,1,198.290756854392,1978-01-01
1978,2,122.343389206047,1978-02-01
1978,3,0.0,1978-03-01
1978,4,0.0,1978-04-01
1978,5,96.3442744171936,1978-05-01
1978,6,0.0,1978-06-01
1978,7,91.7596623385588,1978-07-01
1978,8,142.887845129327,1978-08-01
1978,9,0.0,1978-09-01
1978,10,0.0,1978-10-01
1978,11,80.0027806478343,1978-11-01
1978,12,0.0,1978-12-01
