Date,year,month,EPU,MA_12m,decade
1949-10-01,1949,10,87.2373217864418,,1940
1949-11-01,1949,11,40.5456269269636,,1940
1949-12-01,1949,12,40.0747425066627,,1940
1950-01-01,1950,1,39.4241002651234,,1950
1950-02-01,1950,2,200.476593624438,,1950
1950-03-01,1950,3,87.4157852094806,,1950
1950-04-01,1950,4,173.327102234217,175.56971459236055,1950
1950-05-01,1950,5,90.3371243623844,189.27099787809058,1950
1950-06-01,1950,6,668.868176104951,201.45778887750552,1950
1950-07-01,1950,7,266.844369345541,210.82371713949928,1950
1950-08-01,1950,8,225.817263171872,216.53901937686837,1950
1950-09-01,1950,9,186.468369570251,227.13974612603042,1950
1950-10-01,1950,10,251.652721215202,237.657088900713,1950
1950-11-01,1950,11,186.787118919943,258.5331267666267,1950
1950-12-01,1950,12,152.465881650588,259.14132976135977,1950
1951-01-01,1951,1,108.007727113552,224.21607023431434,1950
1951-02-01,1951,2,327.685314614383,229.0213452832957,1950
1951-03-01,1951,3,213.623898505672,219.49224071151602,1950
1951-04-01,1951,4,423.839556625181,237.22734651896837,1950
1951-05-01,1951,5,97.6355602991813,260.01143029307,1950
1951-06-01,1951,6,249.765061780406,295.445300377125,1950
1951-07-01,1951,7,324.507669933317,319.1291730632315,1950
1951-08-01,1951,8,111.468008310516,352.6004776935743,1950
1951-09-01,1951,9,399.289639259679,355.1332314675476,1950
1951-10-01,1951,10,525.061726504422,367.2909839481328,1950
1951-11-01,1951,11,611.993559928603,351.34521674145407,1950
1951-12-01,1951,12,436.672353883866,347.79626113164255,1950
1952-01-01,1952,1,509.663382677666,336.7300942587586,1950
1952-02-01,1952,2,358.078359902062,318.4294255964355,1950
1952-03-01,1952,3,359.516928272694,313.43564756773554,1950
1952-04-01,1952,4,232.490350145036,304.63966162767423,1950
1952-05-01,1952,5,55.0480929814444,273.05272093361606,1950
1952-06-01,1952,6,116.971059305798,233.15797961519252,1950
1952-07-01,1952,7,104.89964598544,222.78539406967198,1950
1952-08-01,1952,8,51.5426719661165,231.37487702627675,1950
1952-09-01,1952,9,293.737807978943,267.2964746024218,1950
1952-10-01,1952,10,146.018438175724,259.1816342066985,1950
1952-11-01,1952,11,133.25666410752,285.67416860358367,1950
1952-12-01,1952,12,312.20132733762,318.98917582024336,1950
1953-01-01,1953,1,612.737178156923,355.30158735398317,1950
1953-02-01,1953,2,789.137530815803,385.4324401881375,1950
1953-03-01,1953,3,262.138843524014,390.99917281023,1950
1953-04-01,1953,4,550.400762907658,383.2363275401486,1950
1953-05-01,1953,5,454.828179581361,418.8360103744444,1950
1953-06-01,1953,6,552.719997710675,429.79022806144303,1950
1953-07-01,1953,7,466.469879995292,430.4306082300239,1950
1953-08-01,1953,8,118.343463431227,384.8712515439263,1950
1953-09-01,1953,9,200.583664737966,336.68041906195066,1950
1953-10-01,1953,10,573.214632187274,351.06291345437825,1950
1953-11-01,1953,11,264.707276351504,324.73224242688883,1950
1953-12-01,1953,12,319.88588936059,300.19903742797305,1950
1954-01-01,1954,1,66.0248979237518,268.68908664519387,1950
1954-02-01,1954,2,210.847541032095,242.6509659378618,1950
1954-03-01,1954,3,434.728776233145,236.95010983578638,1950
1954-04-01,1954,4,234.432710577785,263.9577589743165,1950
1954-05-01,1954,5,160.429719594372,225.4579361112266,1950
1954-06-01,1954,6,174.600588317324,220.4474503179127,1950
1954-07-01,1954,7,154.012431507308,216.20004666420505,1950
1954-08-01,1954,8,49.9331902063216,223.26742711730626,1950
1954-09-01,1954,9,524.675454400328,211.81792365096717,1950
1954-10-01,1954,10,111.216757830195,175.59052563153844,1950
1954-11-01,1954,11,204.581446831737,164.57126022562142,1950
1954-12-01,1954,12,268.917045516098,163.47825547800042,1950
1955-01-01,1955,1,150.833463360966,170.89944600173135,1950
1955-02-01,1955,2,73.4534994360265,214.508759348182,1950
1955-03-01,1955,3,0.0,227.90369576012878,1950
1955-04-01,1955,4,102.201525706781,193.7014512193117,1950
1955-05-01,1955,5,147.31366262292,193.83462534585985,1950
1955-06-01,1955,6,263.654874602095,195.20143942876254,1950
1955-07-01,1955,7,677.324191664716,172.79168563575436,1950
1955-08-01,1955,8,210.672427149683,174.57338884801672,1950
1955-09-01,1955,9,114.248519910523,189.3604005678025,1950
1955-10-01,1955,10,112.814847348773,198.11531620809,1950
1955-11-01,1955,11,220.983215826569,200.45128220408458,1950
