date,EPU,vol_SP500,vol_Gold,vol_BTC
2014-01-01,95.62741935483871,0.007940402818580232,0.008595556363397608,0.04606601855831867
2014-02-01,83.49142857142859,0.008046089391390896,0.007335156391380425,0.39431516395245253
2014-03-01,72.93064516129031,0.006572655553276472,0.009785654899707352,0.05647030928596076
2014-04-01,63.76,0.00827891330844464,0.007764883345746429,0.05734378053159931
2014-05-01,68.4025806451613,0.0051688415842534524,0.008040980559958104,0.03185605741710701
2014-06-01,68.896,0.0036379129423163696,0.007368435077601993,0.027500175329683352
2014-07-01,72.39387096774193,0.00671604367681498,0.008172533039863159,0.01566999672441777
2014-08-01,53.53774193548387,0.00489413734445368,0.0065116562459930786,0.03135282459874116
2014-09-01,57.967666666666666,0.005971339668930682,0.005401523696850317,0.0295504154854736
2014-10-01,66.28516129032259,0.011521510790799917,0.009905712375573734,0.030133310054631456
2014-11-01,58.178,0.0025688290629541804,0.010472001135167901,0.042934472011575166
2014-12-01,66.2416129032258,0.009712970274498718,0.01399538956739769,0.023178166897324916
2015-01-01,80.64967741935483,0.010709580168052063,0.011262568925234088,0.08938302619310139
2015-02-01,68.65714285714286,0.00603158475478155,0.008092864977731082,0.03961699393760376
2015-03-01,62.27483870967742,0.009023251237044717,0.008561992818720178,0.03275681624121365
2015-04-01,66.03,0.0053481069726804865,0.011918005484405553,0.02461163711116813
2015-05-01,62.85967741935484,0.006801768361978707,0.008500333751276526,0.013429932856669366
2015-06-01,67.026,0.007036357926724766,0.007392805927870842,0.016623911235390632
2015-07-01,74.31193548387097,0.007375114547355005,0.007929533164958915,0.025033269936670714
2015-08-01,76.01096774193549,0.016860889851252923,0.00862339619734624,0.029476751543474775
2015-09-01,87.062,0.014220649509373778,0.009767335428395401,0.013726705518816247
2015-10-01,65.7516129032258,0.007897856751159085,0.009107411248426806,0.019454074508562666
2015-11-01,55.510666666666665,0.007660293774117908,0.007670495846833946,0.05104135793179027
2015-12-01,71.08064516129032,0.011607332598487395,0.01053440658756649,0.031881386359854984
2016-01-01,80.38064516129033,0.015241090626812174,0.009385311357424205,0.0377136262619171
2016-02-01,78.93103448275862,0.011698793128527847,0.015933292975358355,0.020284664619366188
2016-03-01,63.63,0.007141455655749331,0.010919942228163448,0.012791332012231328
2016-04-01,52.43566666666666,0.006394115030487756,0.009982265067651565,0.011565795035614144
2016-05-01,55.18161290322581,0.007004672896007035,0.008645445406922062,0.022819043182485396
2016-06-01,133.648,0.011759685012062397,0.012287808922749189,0.048522811754200645
2016-07-01,94.67,0.004659291261287707,0.008301882048787264,0.022977545990580526
2016-08-01,71.41258064516128,0.003559673067916666,0.006337278840813704,0.03711368755419901
2016-09-01,50.28933333333334,0.009182649460574961,0.007415261531339773,0.011820127883406336
2016-10-01,69.44645161290323,0.004168448879991976,0.008663571847214075,0.014713925222549499
2016-11-01,125.67233333333334,0.006634401284346948,0.011109904190046298,0.019617304452362205
2016-12-01,123.92709677419356,0.0050334646129944075,0.008876866529737045,0.01897472341876106
2017-01-01,144.13548387096773,0.004094445030096498,0.007704252877297885,0.05054988419090387
2017-02-01,119.42750000000001,0.002911256409678465,0.005644600455837125,0.022070192380049737
2017-03-01,112.85290322580646,0.00510799882019573,0.006792251879211214,0.04899055389257955
