ym,SP500,CSI300,Gold,BTC
2014-02-01,0.04221338215754876,-0.010718089010600106,0.06389304749889453,-0.49214729886255154
2014-03-01,0.006908240422563322,-0.015106858678836932,-0.02901869388903582,-0.25505526759766617
2014-04-01,0.006181651028472133,0.0057422294109007455,0.009381004563691087,0.00202179109642357
2014-05-01,0.020812198017934665,-0.001019670456727367,-0.03926701409397044,0.3429592295069894
2014-06-01,0.01887897875478642,0.004007798810496331,0.05920732106423313,0.01140154868886548
2014-07-01,-0.015194720363435775,0.08204591830637128,-0.030100552592631814,-0.07450774683150353
2014-08-01,0.03696366960697851,-0.005101812479670694,0.003579491799515764,-0.20174562979665467
2014-09-01,-0.01563545834824645,0.04707213157343952,-0.060682880465433395,-0.2160084194458611
2014-10-01,0.0229363944395255,0.02312118176779191,-0.03357146419950384,-0.13877067701466572
2014-11-01,0.02423746941943873,0.11315125998714722,0.003323253026545822,0.10390933002162209
2014-12-01,-0.004197308450286825,0.22958101432548023,0.0072894033567869115,-0.16397920783817987
2015-01-01,-0.03153282180262603,-0.02850615444348495,0.07725189018283352,-0.3758941013680416
2015-02-01,0.053438871430552516,0.0395214715347095,-0.05305581574287084,0.1509418757904736
2015-03-01,-0.017549145486384792,0.12565233578572937,-0.024956434380283506,-0.04014991292720398
2015-04-01,0.008484665914449642,0.15910832635599959,-0.0006763612026527013,-0.03459398929564371
2015-05-01,0.010436785331839957,0.01896473374586301,0.006238954559867887,-0.025774622688615252
2015-06-01,-0.021235661913586588,-0.07902686917881681,-0.015244197643117081,0.13911845388843128
2015-07-01,0.019549693281665254,-0.1586731495322559,-0.06769534482897485,0.07158952251171895
2015-08-01,-0.06462471645113466,-0.12550066420951883,0.03358189507547579,-0.21201431231420573
2015-09-01,-0.0267987189877159,-0.04981325056904087,-0.015393817350929578,0.027504956913029475
2015-10-01,0.07971934314092276,0.09838075073964765,0.023221818096348223,0.2770278058906072
2015-11-01,0.000504835614613225,0.009106476713951797,-0.06899912948545595,0.1944584033153511
2015-12-01,-0.017685671969978563,0.045116806645525726,-0.00479888006344613,0.1288910130680205
2016-01-01,-0.05206764093935223,-0.2361974267670538,0.051651653108461336,-0.15082288973458366
2016-02-01,-0.004136900440057719,-0.0235674316291825,0.10047579938678391,0.16513853481450408
2016-03-01,0.06390498491988238,0.11187658001810882,0.0009716599954754918,-0.04813700750893696
2016-04-01,0.0026957330678163125,-0.01924499852424046,0.04347305811424194,0.07594483524025916
2016-05-01,0.015208413737977483,0.00404975965692037,-0.05823016420192372,0.16489069657308347
2016-06-01,0.0009104321367895639,-0.004946653390773793,0.08128660280372613,0.2364783343130776
2016-07-01,0.03499043894376667,0.01573205767426219,0.02755859404761965,-0.07449840427516817
2016-08-01,-0.001219919360414707,0.03793023872941272,-0.03454950397857143,-0.08032414299552666
2016-09-01,-0.0012352452011046586,-0.022644701826579693,0.00433708117548164,0.05788417701174722
2016-10-01,-0.019616782104688858,0.025192695648157886,-0.03397747893740111,0.13888212343234088
2016-11-01,0.033603472465471074,0.058705181909541077,-0.08112333218312312,0.06080140511844957
2016-12-01,0.018037103051757427,-0.06658923745640201,-0.019092427209614772,0.2604458235192657
2017-01-01,0.01772629809300964,0.023255612063477878,0.05053760387198504,0.0021774076724488047
2017-02-01,0.036523097609435645,0.018960421933000314,0.03448197864964543,0.2084740758646304
2017-03-01,-0.0003893059401398051,0.0009379261520773388,-0.0021556034054455524,-0.09723753836351175
2017-04-01,0.009050140558437409,-0.004727524103958376,0.013574330282337104,0.22538365000067195
2017-05-01,0.011509718385591177,0.015327816485647338,0.0014182164368899746,0.5328318668385
2017-06-01,0.004802282553352028,0.04859273629404733,-0.02213113729064254,0.07415758917236939
2017-07-01,0.019163961513693484,0.0191965833669942,0.029426717796406158,0.15043500511611932
2017-08-01,0.0005463430563159147,0.022281462949047495,0.03908843086268061,0.49606737422400216
2017-09-01,0.01911895720324887,0.0037630992140577245,-0.034876584686220805,-0.08239318316740268
2017-10-01,0.02194559887830511,0.043412458862862886,-0.005854589143766077,0.3916564974429922
2017-11-01,0.027695515330648682,-0.00015475201021289487,0.003906865416338889,0.43298473138854077
2017-12-01,0.009783603904362663,0.006159072344404529,0.02083730276863758,0.33106322167938557
2018-01-01,0.05465741778702495,0.05901733471432062,0.029055182510516465,-0.2995350960062085
2018-02-01,-0.0397261156359207,-0.060807640972268415,-0.03219154002505848,0.006650735946606026
2018-03-01,-0.02725251295379243,-0.03159510180717191,0.016790517912991035,-0.39838737813982655
2018-04-01,0.002715111747128934,-0.037003038063751555,-0.015565402905241455,0.2870513065549411
2018-05-01,0.021378202402637565,0.0120383607641705,-0.005755742838224431,-0.20884405430431519
2018-06-01,0.004830713496801861,-0.07973198568066273,-0.035088571082213714,-0.15912352654050055
2018-07-01,0.03538797997679926,0.001900795036094783,-0.021676043060896,0.18890513932969488
2018-08-01,0.029814321663194848,-0.05347325273314471,-0.017171682666025912,-0.09430413959941983
2018-09-01,0.004285106720321905,0.030817278022672662,-0.008739495469098425,-0.058338289813720835
2018-10-01,-0.0719293490556602,-0.08652560458743674,0.034831843893503835,-0.04143319022460452
2018-11-01,0.017701776759294796,0.005965391964541729,-0.01022487200780381,-0.45478518849527827
2018-12-01,-0.09626528711807607,-0.0524238061985268,0.045444248119479815,-0.0853002933170474
2019-01-01,0.07574215482837561,0.061504052826798696,0.030020295900414506,-0.07621295201611862
2019-02-01,0.029295592986693514,0.13635993008723593,-0.017472691108637414,0.10470278747374553
