date,SP500,CSI300,Gold,BTC
2014-01-03,-0.0003330285152322327,-0.013527899049196343,0.010877613545340304,
2014-01-04,,,,0.04467298900190371
2014-01-05,,,,0.09287892070144425
2014-01-06,-0.002514940611652187,-0.023023832301036835,-0.00048453525941906953,-0.001972970946797839
2014-01-07,0.006063353410313031,-0.0002859287342114402,-0.006808261020155419,-0.1405670456867243
2014-01-08,-0.00021222353203285233,0.001745571224787962,-0.0033399892562187327,0.0647941993253533
2014-01-09,0.000348240572457387,-0.00882148489725003,0.0031773215047419187,-0.0019191817384462495
2014-01-10,0.0023040357971461523,-0.007847216843302262,0.014134225529631419,0.021955705670086683
2014-01-11,,,,0.048402295502865435
2014-01-12,,,,-0.06737419674265913
2014-01-13,-0.012655942268644282,-0.0050789804829368705,0.003362693320813637,-0.018146200397184276
2014-01-14,0.01075984662417709,0.008700778588261385,-0.004566400885002549,-0.0039083754018220665
2014-01-15,0.005152889148329633,-0.0017685150217857126,-0.005717292217298808,0.02354314598349849
2014-01-16,-0.001348033780458889,0.0013119858558818865,0.0015331856947247214,-0.0298722810351461
2014-01-17,-0.0039027458285236156,-0.01519277206300218,0.009389740349839137,-0.02135391201818111
2014-01-18,,,,0.012778661581022645
2014-01-19,,,,0.052793769083772125
2014-01-20,,-0.005754444487417138,-0.008100457334824295,0.0012560185867263815
2014-01-21,0.0027698592046981876,0.009840663783128393,,0.006464416213952064
2014-01-22,0.0005747344722354488,0.02545266158262842,-0.002580230426831909,-0.011708266719963075
2014-01-23,-0.008929311341099137,-0.005322096978239295,0.018953744254855413,-0.007176054433203915
2014-01-24,-0.02109646461003822,0.006159610503142063,0.0015831555590360715,-0.029775940832426684
2014-01-25,,,,0.0474123416905327
2014-01-26,,,,0.0467564837482699
2014-01-27,-0.004888232923261316,-0.013340703503284902,-0.0007121098532518688,-0.06513452790995733
2014-01-28,0.006121908511444599,0.0017764636822213394,-0.010023152880913882,-0.011512759075787022
2014-01-29,-0.010261676387288874,0.003561443089529202,0.009072883566453072,-0.007533397659652204
2014-01-30,0.011204049508506285,-0.011435196827176697,-0.015730751179355344,0.016817920893876306
2014-01-31,-0.006486303697573044,,-0.0021754027029648234,-0.002765664990173473
2014-02-01,,,,0.001702852689045987
