date,CNEPU,vol_CSI300,vol_Gold,vol_BTC
2014-01-01,103.5485547,0.010813670652901826,0.008595556363397608,0.04606601855831867
2014-02-01,70.57914407,0.013197283602762832,0.007335156391380425,0.39431516395245253
2014-03-01,99.97414417,0.012609843446062863,0.009785654899707352,0.05647030928596076
2014-04-01,129.5463889,0.010363028301233434,0.007764883345746429,0.05734378053159931
2014-05-01,77.43149688,0.008191555329995352,0.008040980559958104,0.03185605741710701
2014-06-01,105.8055156,0.007776619830217905,0.007368435077601993,0.027500175329683352
2014-07-01,94.60066506,0.008684359192775538,0.008172533039863159,0.01566999672441777
2014-08-01,77.59931977,0.008895360319079827,0.0065116562459930786,0.03135282459874116
2014-09-01,107.9098285,0.009200065835125379,0.005401523696850317,0.0295504154854736
2014-10-01,99.81389864,0.009412293616570422,0.009905712375573734,0.030133310054631456
2014-11-01,120.1338512,0.010827015796591316,0.010472001135167901,0.042934472011575166
2014-12-01,58.89923617,0.02291252402432641,0.01399538956739769,0.023178166897324916
2015-01-01,98.03493372,0.02479163904615524,0.011262568925234088,0.08938302619310139
2015-02-01,95.11193973,0.01462125721344854,0.008092864977731082,0.03961699393760376
2015-03-01,116.265651,0.013557268722543623,0.008561992818720178,0.03275681624121365
2015-04-01,63.93907057,0.014308110479085643,0.011918005484405553,0.02461163711116813
2015-05-01,68.25076576,0.02511524130071603,0.008500333751276526,0.013429932856669366
2015-06-01,95.53624936,0.035265509624279746,0.007392805927870842,0.016623911235390632
2015-07-01,133.6395202,0.03872845123886297,0.007929533164958915,0.025033269936670714
2015-08-01,60.20590772,0.03873452211966907,0.00862339619734624,0.029476751543474775
2015-09-01,96.43061547,0.021572796812353707,0.009767335428395401,0.013726705518816247
2015-10-01,87.33976499,0.01602490911497899,0.009107411248426806,0.019454074508562666
2015-11-01,96.07801009,0.019244650005421807,0.007670495846833946,0.05104135793179027
2015-12-01,94.53806507,0.015083492935149325,0.01053440658756649,0.031881386359854984
2016-01-01,127.4782714,0.032950756452034845,0.009385311357424205,0.0377136262619171
2016-02-01,108.0552358,0.02187286598195924,0.015933292975358355,0.020284664619366188
2016-03-01,155.2279389,0.014317194233553357,0.010919942228163448,0.012791332012231328
2016-04-01,165.2380053,0.008813317233856867,0.009982265067651565,0.011565795035614144
2016-05-01,117.5464314,0.011792976269847587,0.008645445406922062,0.022819043182485396
2016-06-01,131.4570154,0.009868192511594208,0.012287808922749189,0.048522811754200645
2016-07-01,112.3994755,0.008183831169919747,0.008301882048787264,0.022977545990580526
2016-08-01,116.325771,0.00852530515286564,0.006337278840813704,0.03711368755419901
2016-09-01,147.5645526,0.00719195682240965,0.007415261531339773,0.011820127883406336
2016-10-01,106.809263,0.006097451210382916,0.008663571847214075,0.014713925222549499
2016-11-01,133.0970927,0.0057030871864848275,0.011109904190046298,0.019617304452362205
2016-12-01,130.5673617,0.008150458282896834,0.008876866529737045,0.01897472341876106
2017-01-01,306.037496,0.004738860674006303,0.007704252877297885,0.05054988419090387
2017-02-01,176.3995805,0.005671932372087946,0.005644600455837125,0.022070192380049737
2017-03-01,349.0531329,0.005147591664698487,0.006792251879211214,0.04899055389257955
2017-04-01,174.1927712,0.005355653860407522,0.007919820143653283,0.01609427041737109
2017-05-01,130.7553519,0.006201024216493653,0.007812137272818601,0.04165613138524704
2017-06-01,227.6597283,0.006752757400986634,0.0076203876438716645,0.045411731505551355
2017-07-01,228.2414925,0.006545803181764976,0.007709556086085288,0.06535018322668087
2017-08-01,164.6848328,0.0075604882818280416,0.006706205387978438,0.03774064985304161
2017-09-01,206.3844492,0.0027363305397114742,0.007560205969432979,0.062030682511895724
2017-10-01,142.533602,0.004214529991231095,0.0066910066651032106,0.03481191966820036
2017-11-01,206.0377588,0.009760921611892945,0.007339752638947797,0.046023079594991904
2017-12-01,167.6842327,0.008756071757361147,0.0069481451433921855,0.0811562468163857
2018-01-01,265.0796087,0.007201418073712758,0.006493914854113407,0.06417720484906349
2018-02-01,149.602152,0.018044102393627137,0.009329008948793,0.07244815258350788
2018-03-01,254.1363255,0.010403819205529614,0.007493700466460399,0.0466077640845418
2018-04-01,241.739357,0.011292742760250152,0.0073577423777230035,0.04485621842745063
2018-05-01,210.7990925,0.009980771957176825,0.006811788324359844,0.029155554546413123
2018-06-01,203.0892821,0.01318067741657542,0.006453768623763522,0.03725208965900869
2018-07-01,395.6720601,0.013165780936748635,0.005252932097739112,0.03229908976275494
2018-08-01,269.4765344,0.01514519393684708,0.007634119051713237,0.02808333594566287
2018-09-01,314.0877032,0.012803466731717703,0.005401401094368106,0.025542814417854276
2018-10-01,343.3703494,0.02390865080363555,0.009594018547951113,0.016754353309636073
